EST,SE,Param,Sulcus
0.0649842623106489,0.0203720333735128,CT,calcarine
0.574235641742686,0.0188085665809348,CU,calcarine
-0.0414487217328602,0.0328601661102326,R1,calcarine
-0.550174139417233,0.0321730289146816,CT,insula
1.03527120356465,0.0140079223277617,CU,insula
0.278410337753022,0.0421240345714097,R1,insula
-0.202345026790604,0.015305198881693,CT,cingulate
0.558450230829064,0.0117345634140078,CU,cingulate
0.265172985119033,0.0137515667337622,R1,cingulate
0.0389117643618693,0.0319456493451797,CT,pos
0.440925859184473,0.0219760047405565,CU,pos
-0.163394230003779,0.0310632128056342,R1,pos
-0.246069723851778,0.0253913881952943,CT,central
0.564073508107888,0.0184481931975373,CU,central
0.261150393304823,0.0251690901517531,R1,central
-0.254690813378867,0.0258357292639547,CT,precentral
0.675504704725823,0.0152947509850455,CU,precentral
0.743326548406789,0.0368672688255736,R1,precentral
-0.36456401198388,0.0164185668934893,CT,cos
0.676010094668496,0.0149452609501428,CU,cos
0.760009305249114,0.0151902138267955,R1,cos
-0.422187652500812,0.0256690567282086,CT,sts
0.868962652711293,0.0118372270773169,CU,sts
0.229851550726908,0.0228529996259517,R1,sts
-0.219888623430033,0.0263587244004383,CT,postcentral
0.8316689674105,0.0172486133705088,CU,postcentral
0.864091226930433,0.0448449444189218,R1,postcentral
-0.69580348331705,0.0274451163532802,CT,sfs
0.632022403878591,0.0165630175513446,CU,sfs
0.825653664065389,0.0308266963291162,R1,sfs
-0.324863754906462,0.0324715643288945,CT,ips
0.58736124765802,0.0155952230183284,CU,ips
0.292403650875881,0.0321988593215986,R1,ips
-0.453246621361578,0.035745326771145,CT,loc
0.85427080116129,0.0207884998177269,CU,loc
0.409038059245835,0.0452881199419175,R1,loc
-0.44740495863338,0.0284990094833534,CT,ifs
0.456982594766803,0.0161854937040924,CU,ifs
0.732435971385917,0.0405641520568644,R1,ifs
-0.247415392313512,0.0191971130875595,CT,ots
0.731741641664409,0.009542518701964,CU,ots
0.214347899354809,0.0201532572600451,R1,ots
-0.307506569407884,0.0148891768864425,CT,its
0.630350079904658,0.00901684755324765,CU,its
0.215938330395491,0.0111698082451392,R1,its
