ROI,Mean_LH,SEM_LH,Mean_RH,SEM_RH
calcarine,0.794172942157234,0.00647539230617441,0.762053980505068,0.00635496564804163
pos,0.79659340602074,0.00604167816935376,0.805377704953172,0.00545841324980957
insula,0.770410385493441,0.00522678776790065,0.730128880681593,0.00748271494625526
central,0.848819254884807,0.00656931096060927,0.858826851629651,0.00781404638903888
cos,0.626878137977894,0.023032757702682,0.809139874261162,0.0214213291242056
sts,0.741773602940466,0.0117212394371583,0.706876644555659,0.00958057534131914
sfs,0.590519090581516,0.0134702511461252,0.631370486340511,0.0150677084921328
ips,0.576307892428975,0.0130149257829739,0.545765728510552,0.0122044108445728
loc,0.706156240245626,0.0235523953263931,0.701491963627962,0.0152139100627254
ifs,0.682421705480922,0.0132656370939356,0.606542725869255,0.0156668977197961
ots,0.627969126364716,0.0268397367431896,0.591334205812693,0.0145306305586419
its,0.533397360411055,0.0147037601861441,0.491180592063649,0.00956632448441326
